"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",16,138,0.115942028985507
"2","SAT","GLANCE-LR",32,122,0.262295081967213
"3","SAT","N-gram",14,140,0.1
"4","SAT","LineDP",31,123,0.252032520325203
"5","SAT","DeepLineDP",16,138,0.115942028985507
"6","SAT","LLM4SA",49,105,0.466666666666667
"7","APART-F","GLANCE-LR",33,121,0.272727272727273
"8","APART-F","N-gram",10,144,0.0694444444444444
"9","APART-F","LineDP",12,142,0.0845070422535211
"10","APART-F","DeepLineDP",17,137,0.124087591240876
"11","APART-F","LLM4SA",18,136,0.132352941176471
"12","GLANCE-LR","N-gram",9,145,0.0620689655172414
"13","GLANCE-LR","LineDP",43,111,0.387387387387387
"14","GLANCE-LR","DeepLineDP",17,137,0.124087591240876
"15","GLANCE-LR","LLM4SA",27,127,0.21259842519685
"16","N-gram","LineDP",6,148,0.0405405405405405
"17","N-gram","DeepLineDP",11,143,0.0769230769230769
"18","N-gram","LLM4SA",9,145,0.0620689655172414
"19","LineDP","DeepLineDP",10,144,0.0694444444444444
"20","LineDP","LLM4SA",27,127,0.21259842519685
"21","DeepLineDP","LLM4SA",12,142,0.0845070422535211
