"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",18,150,0.12
"2","SAT","GLANCE-LR",40,128,0.3125
"3","SAT","N-gram",21,147,0.142857142857143
"4","SAT","LineDP",56,112,0.5
"5","SAT","DeepLineDP",27,141,0.191489361702128
"6","SAT","LLM4SA",41,127,0.322834645669291
"7","APART-F","GLANCE-LR",52,116,0.448275862068966
"8","APART-F","N-gram",23,145,0.158620689655172
"9","APART-F","LineDP",30,138,0.217391304347826
"10","APART-F","DeepLineDP",25,143,0.174825174825175
"11","APART-F","LLM4SA",19,149,0.12751677852349
"12","GLANCE-LR","N-gram",20,148,0.135135135135135
"13","GLANCE-LR","LineDP",53,115,0.460869565217391
"14","GLANCE-LR","DeepLineDP",21,147,0.142857142857143
"15","GLANCE-LR","LLM4SA",27,141,0.191489361702128
"16","N-gram","LineDP",18,150,0.12
"17","N-gram","DeepLineDP",23,145,0.158620689655172
"18","N-gram","LLM4SA",20,148,0.135135135135135
"19","LineDP","DeepLineDP",27,141,0.191489361702128
"20","LineDP","LLM4SA",32,136,0.235294117647059
"21","DeepLineDP","LLM4SA",26,142,0.183098591549296
