"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",124,1682,0.0737217598097503
"2","SAT","GLANCE-LR",528,1278,0.413145539906103
"3","SAT","N-gram",168,1638,0.102564102564103
"4","SAT","LineDP",580,1226,0.473083197389886
"5","SAT","DeepLineDP",281,1525,0.184262295081967
"6","SAT","LLM4SA",331,1428,0.231792717086835
"7","APART-F","GLANCE-LR",301,1505,0.2
"8","APART-F","N-gram",139,1667,0.0833833233353329
"9","APART-F","LineDP",189,1617,0.116883116883117
"10","APART-F","DeepLineDP",251,1555,0.161414790996785
"11","APART-F","LLM4SA",129,1630,0.0791411042944785
"12","GLANCE-LR","N-gram",161,1645,0.0978723404255319
"13","GLANCE-LR","LineDP",613,1193,0.513830678960604
"14","GLANCE-LR","DeepLineDP",267,1539,0.173489278752437
"15","GLANCE-LR","LLM4SA",224,1535,0.145928338762215
"16","N-gram","LineDP",168,1638,0.102564102564103
"17","N-gram","DeepLineDP",157,1649,0.0952092177077016
"18","N-gram","LLM4SA",150,1609,0.0932256059664388
"19","LineDP","DeepLineDP",259,1547,0.167420814479638
"20","LineDP","LLM4SA",271,1488,0.182123655913978
"21","DeepLineDP","LLM4SA",159,1600,0.099375
