"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",83,518,0.16023166023166
"2","SAT","GLANCE-LR",172,435,0.395402298850575
"3","SAT","N-gram",63,545,0.115596330275229
"4","SAT","LineDP",186,421,0.441805225653207
"5","SAT","DeepLineDP",107,500,0.214
"6","SAT","LLM4SA",174,435,0.4
"7","APART-F","GLANCE-LR",178,422,0.421800947867299
"8","APART-F","N-gram",75,526,0.142585551330798
"9","APART-F","LineDP",100,500,0.2
"10","APART-F","DeepLineDP",122,478,0.255230125523013
"11","APART-F","LLM4SA",68,534,0.127340823970037
"12","GLANCE-LR","N-gram",68,539,0.126159554730983
"13","GLANCE-LR","LineDP",190,416,0.456730769230769
"14","GLANCE-LR","DeepLineDP",120,486,0.246913580246914
"15","GLANCE-LR","LLM4SA",111,497,0.223340040241449
"16","N-gram","LineDP",54,553,0.0976491862567812
"17","N-gram","DeepLineDP",72,535,0.134579439252336
"18","N-gram","LLM4SA",57,552,0.103260869565217
"19","LineDP","DeepLineDP",96,510,0.188235294117647
"20","LineDP","LLM4SA",117,491,0.238289205702648
"21","DeepLineDP","LLM4SA",87,521,0.166986564299424
