"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",131,997,0.131394182547643
"2","SAT","GLANCE-LR",155,973,0.159301130524152
"3","SAT","N-gram",101,1027,0.0983446932814021
"4","SAT","LineDP",169,959,0.176225234619395
"5","SAT","DeepLineDP",113,1015,0.111330049261084
"6","SAT","LLM4SA",422,706,0.597733711048159
"7","APART-F","GLANCE-LR",249,879,0.283276450511945
"8","APART-F","N-gram",120,1008,0.119047619047619
"9","APART-F","LineDP",151,977,0.154554759467758
"10","APART-F","DeepLineDP",182,946,0.192389006342495
"11","APART-F","LLM4SA",125,1003,0.124626121635095
"12","GLANCE-LR","N-gram",116,1012,0.114624505928854
"13","GLANCE-LR","LineDP",343,785,0.436942675159236
"14","GLANCE-LR","DeepLineDP",168,960,0.175
"15","GLANCE-LR","LLM4SA",133,995,0.133668341708543
"16","N-gram","LineDP",111,1017,0.109144542772861
"17","N-gram","DeepLineDP",127,1001,0.126873126873127
"18","N-gram","LLM4SA",98,1030,0.0951456310679612
"19","LineDP","DeepLineDP",165,963,0.171339563862928
"20","LineDP","LLM4SA",140,988,0.1417004048583
"21","DeepLineDP","LLM4SA",108,1020,0.105882352941176
