"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",49,248,0.19758064516129
"2","SAT","GLANCE-LR",92,205,0.448780487804878
"3","SAT","N-gram",31,267,0.116104868913858
"4","SAT","LineDP",96,200,0.48
"5","SAT","DeepLineDP",40,255,0.156862745098039
"6","SAT","LLM4SA",65,227,0.286343612334802
"7","APART-F","GLANCE-LR",65,235,0.276595744680851
"8","APART-F","N-gram",39,262,0.148854961832061
"9","APART-F","LineDP",51,248,0.205645161290323
"10","APART-F","DeepLineDP",42,256,0.1640625
"11","APART-F","LLM4SA",41,254,0.161417322834646
"12","GLANCE-LR","N-gram",34,267,0.127340823970037
"13","GLANCE-LR","LineDP",104,195,0.533333333333333
"14","GLANCE-LR","DeepLineDP",43,255,0.168627450980392
"15","GLANCE-LR","LLM4SA",42,253,0.16600790513834
"16","N-gram","LineDP",25,275,0.0909090909090909
"17","N-gram","DeepLineDP",27,272,0.0992647058823529
"18","N-gram","LLM4SA",25,271,0.0922509225092251
"19","LineDP","DeepLineDP",48,249,0.192771084337349
"20","LineDP","LLM4SA",49,245,0.2
"21","DeepLineDP","LLM4SA",32,261,0.122605363984674
