filename,line,severity,priority
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,62,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,93,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,100,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,105,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,91,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,90,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,69,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,45,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,98,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,48,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,104,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,65,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,10,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,38,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,73,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,40,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,66,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,53,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,78,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,51,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,74,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,94,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,43,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,87,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,61,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,109,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,97,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,42,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,60,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,70,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,89,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,92,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,107,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,96,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,95,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,81,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,52,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,85,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,63,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,55,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,58,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,79,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,17,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,86,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,102,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,8,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,47,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,80,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,50,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,103,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,108,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,41,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,68,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,1,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,26,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,83,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,67,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,72,error,1
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,46,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,56,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,75,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,82,warning,2
activemq-core_src_main_java_org_apache_activemq_transport_peer_PeerTransportFactory.java,77,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,34,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,42,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,60,error,1
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,35,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,70,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,23,error,1
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,62,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,33,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,25,warning,2
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,54,error,1
activemq-core_src_main_java_org_apache_activemq_thread_Scheduler.java,44,error,1
