filename,line,severity,priority
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,560,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1908,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2486,error,1
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1339,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,763,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2081,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,533,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2279,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,824,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2163,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,719,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1373,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1718,error,1
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,687,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,291,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2376,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,263,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1557,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2508,error,1
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,2702,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,607,error,1
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1637,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,161,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1784,warning,2
src_main_org_codehaus_groovy_antlr_AntlrParserPlugin.java,1548,warning,2
