filename,test-release,line_number,EP_prediction_result
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,162,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,143,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,152,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,283,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,296,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,303,True
components_camel-jms_src_main_java_org_apache_camel_component_jms_JmsEndpoint.java,camel-2.10.0,363,True
components_camel-mina2_src_main_java_org_apache_camel_component_mina2_Mina2Consumer.java,camel-2.10.0,341,True
components_camel-blueprint_src_main_java_org_apache_camel_blueprint_BlueprintContainerRegistry.java,camel-2.10.0,40,True
components_camel-blueprint_src_main_java_org_apache_camel_blueprint_BlueprintContainerRegistry.java,camel-2.10.0,44,True
components_camel-blueprint_src_main_java_org_apache_camel_blueprint_BlueprintContainerRegistry.java,camel-2.10.0,66,True
camel-core_src_main_java_org_apache_camel_impl_ConsumerCache.java,camel-2.10.0,214,True
camel-core_src_main_java_org_apache_camel_impl_ConsumerCache.java,camel-2.10.0,218,True
camel-core_src_main_java_org_apache_camel_component_timer_TimerEndpoint.java,camel-2.10.0,56,True
camel-core_src_main_java_org_apache_camel_component_timer_TimerEndpoint.java,camel-2.10.0,60,True
camel-core_src_main_java_org_apache_camel_component_timer_TimerEndpoint.java,camel-2.10.0,77,True
camel-core_src_main_java_org_apache_camel_component_timer_TimerEndpoint.java,camel-2.10.0,153,True
camel-core_src_main_java_org_apache_camel_component_timer_TimerEndpoint.java,camel-2.10.0,175,True
components_camel-hbase_src_main_java_org_apache_camel_component_hbase_mapping_CellMappingStrategyFactory.java,camel-2.10.0,67,True
components_camel-http4_src_main_java_org_apache_camel_component_http4_HttpEndpoint.java,camel-2.10.0,68,True
