filename,test-release,line_number,SAT_prediction_result,Priority
activemq-core_src_main_java_org_apache_activemq_transport_tcp_TcpBufferedInputStream.java,activemq-5.3.0,41,True,2
activemq-core_src_main_java_org_apache_activemq_transport_tcp_TcpBufferedInputStream.java,activemq-5.3.0,35,True,2
activemq-core_src_main_java_org_apache_activemq_broker_BrokerService.java,activemq-5.3.0,438,True,2
activemq-core_src_main_java_org_apache_activemq_broker_BrokerFilter.java,activemq-5.3.0,55,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,105,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,126,True,2
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,32,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,33,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,34,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,35,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,36,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,37,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,38,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,39,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,40,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,41,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,42,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,43,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,44,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,45,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,46,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,47,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,48,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,49,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,50,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,51,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,52,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,53,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,54,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,55,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,56,True,1
activemq-core_src_main_java_org_apache_activemq_ActiveMQConnectionFactory.java,activemq-5.3.0,57,True,1
activemq-core_src_main_java_org_apache_activemq_broker_TransportConnection.java,activemq-5.3.0,905,True,2
activemq-core_src_main_java_org_apache_activemq_util_URISupport.java,activemq-5.3.0,291,True,2
activemq-core_src_main_java_org_apache_activemq_util_URISupport.java,activemq-5.3.0,53,True,2
activemq-core_src_main_java_org_apache_activemq_util_URISupport.java,activemq-5.3.0,45,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,127,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,148,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,254,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,107,True,2
activemq-core_src_main_java_org_apache_activemq_util_IntrospectionSupport.java,activemq-5.3.0,128,True,2
activemq-core_src_main_java_org_apache_activemq_store_jdbc_Statements.java,activemq-5.3.0,100,True,2
activemq-core_src_main_java_org_apache_activemq_store_jdbc_Statements.java,activemq-5.3.0,91,True,2
activemq-core_src_main_java_org_apache_activemq_store_jdbc_Statements.java,activemq-5.3.0,517,True,2
activemq-core_src_main_java_org_apache_activemq_store_jdbc_Statements.java,activemq-5.3.0,505,True,2
