filename,test-release,line_number,SAT_prediction_result,Priority
components_camel-jetty_src_main_java_org_apache_camel_component_jetty_JettyHttpComponent.java,camel-2.11.0,476,True,1
components_camel-jetty_src_main_java_org_apache_camel_component_jetty_JettyHttpComponent.java,camel-2.11.0,477,True,1
components_camel-jetty_src_main_java_org_apache_camel_component_jetty_JettyHttpComponent.java,camel-2.11.0,478,True,1
components_camel-jetty_src_main_java_org_apache_camel_component_jetty_JettyHttpComponent.java,camel-2.11.0,479,True,1
components_camel-jetty_src_main_java_org_apache_camel_component_jetty_JettyHttpComponent.java,camel-2.11.0,485,True,1
components_camel-blueprint_src_main_java_org_apache_camel_blueprint_handler_CamelNamespaceHandler.java,camel-2.11.0,248,True,2
camel-core_src_main_java_org_apache_camel_component_bean_MethodInfo.java,camel-2.11.0,48,True,2
camel-core_src_main_java_org_apache_camel_component_bean_MethodInfo.java,camel-2.11.0,74,True,2
camel-core_src_main_java_org_apache_camel_component_bean_MethodInfo.java,camel-2.11.0,53,True,1
camel-core_src_main_java_org_apache_camel_util_FileUtil.java,camel-2.11.0,301,True,1
camel-core_src_main_java_org_apache_camel_util_FileUtil.java,camel-2.11.0,342,True,1
camel-core_src_main_java_org_apache_camel_util_FileUtil.java,camel-2.11.0,98,True,2
camel-core_src_main_java_org_apache_camel_util_GroupIterator.java,camel-2.11.0,58,True,2
camel-core_src_main_java_org_apache_camel_util_GroupIterator.java,camel-2.11.0,57,True,2
camel-core_src_main_java_org_apache_camel_util_GroupIterator.java,camel-2.11.0,133,True,1
camel-core_src_main_java_org_apache_camel_util_GroupIterator.java,camel-2.11.0,115,True,1
camel-core_src_main_java_org_apache_camel_impl_DefaultShutdownStrategy.java,camel-2.11.0,259,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultShutdownStrategy.java,camel-2.11.0,113,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultShutdownStrategy.java,camel-2.11.0,255,True,2
camel-core_src_main_java_org_apache_camel_processor_ChoiceProcessor.java,camel-2.11.0,49,True,2
camel-core_src_main_java_org_apache_camel_processor_ChoiceProcessor.java,camel-2.11.0,120,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultExecutorServiceManager.java,camel-2.11.0,70,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,191,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,324,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,205,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,171,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,320,True,2
camel-core_src_main_java_org_apache_camel_impl_DefaultEndpoint.java,camel-2.11.0,162,True,2
camel-core_src_main_java_org_apache_camel_processor_RedeliveryErrorHandler.java,camel-2.11.0,617,True,2
camel-core_src_main_java_org_apache_camel_processor_RedeliveryErrorHandler.java,camel-2.11.0,185,True,2
camel-core_src_main_java_org_apache_camel_processor_RedeliveryErrorHandler.java,camel-2.11.0,191,True,2
