filename,test-release,line_number,SAT_prediction_result,Priority
hbase-client_src_main_java_org_apache_hadoop_hbase_zookeeper_ZKUtil.java,hbase-0.95.2,601,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_zookeeper_ZKUtil.java,hbase-0.95.2,595,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_util_HBaseFsck.java,hbase-0.95.2,759,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_regionserver_MiniBatchOperationInProgress.java,hbase-0.95.2,45,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_regionserver_MiniBatchOperationInProgress.java,hbase-0.95.2,44,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_regionserver_MiniBatchOperationInProgress.java,hbase-0.95.2,43,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_util_HBaseFsck.java,hbase-0.95.2,1367,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,331,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,332,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,333,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,334,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,335,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,336,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,337,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,338,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,339,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,340,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,341,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,342,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,343,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,344,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_coprocessor_CoprocessorHost.java,hbase-0.95.2,345,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_regionserver_wal_FSHLog.java,hbase-0.95.2,957,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_regionserver_wal_FSHLog.java,hbase-0.95.2,1004,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_types_StructIterator.java,hbase-0.95.2,67,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_types_Struct.java,hbase-0.95.2,74,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_types_Struct.java,hbase-0.95.2,83,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_security_User.java,hbase-0.95.2,18,True,1
hbase-client_src_main_java_org_apache_hadoop_hbase_security_User.java,hbase-0.95.2,53,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_security_User.java,hbase-0.95.2,17,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_security_User.java,hbase-0.95.2,50,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_security_User.java,hbase-0.95.2,43,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_zookeeper_ZKUtil.java,hbase-0.95.2,1396,True,2
hbase-client_src_main_java_org_apache_hadoop_hbase_zookeeper_ZKUtil.java,hbase-0.95.2,1450,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_util_HashedBytes.java,hbase-0.95.2,43,True,2
hbase-server_src_main_java_org_apache_hadoop_hbase_util_HashedBytes.java,hbase-0.95.2,38,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_TableName.java,hbase-0.95.2,193,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_TableName.java,hbase-0.95.2,209,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_TableName.java,hbase-0.95.2,201,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_TableName.java,hbase-0.95.2,185,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,970,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,1120,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,315,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,301,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,1058,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,613,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,1034,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,1082,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,458,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,573,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,427,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,483,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,614,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2543,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2544,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2545,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2546,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2547,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2548,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2549,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2550,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2551,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2552,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2553,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2554,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2555,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2556,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2557,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2558,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2559,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2560,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2561,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2562,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2563,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2564,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2565,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2566,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2567,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2568,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2569,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2570,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2571,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2572,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2573,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2574,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2575,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2576,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2577,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2578,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2579,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2580,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2581,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2582,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2583,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2584,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2585,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2586,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2587,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2588,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2589,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2590,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2591,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2592,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2593,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2594,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2595,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2596,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2597,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2598,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2599,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2600,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2601,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2602,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2603,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2604,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2605,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2606,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2607,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2608,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2609,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2610,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2611,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2612,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2613,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2614,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2615,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2616,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2617,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2618,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2619,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2620,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2621,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2622,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2623,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2624,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2625,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2626,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2627,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2628,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2629,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2630,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2631,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2632,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2633,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2634,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2635,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2636,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2637,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2638,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2639,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2640,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2641,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2642,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2643,True,2
hbase-common_src_main_java_org_apache_hadoop_hbase_KeyValue.java,hbase-0.95.2,2644,True,2
