filename,test-release,line_number,SAT_prediction_result,Priority
wicket-core_src_main_java_org_apache_wicket_request_resource_ByteArrayResource.java,wicket-1.5.3,71,True,2
wicket-core_src_main_java_org_apache_wicket_request_resource_ByteArrayResource.java,wicket-1.5.3,63,True,2
wicket-core_src_main_java_org_apache_wicket_request_resource_ByteArrayResource.java,wicket-1.5.3,61,True,2
wicket-core_src_main_java_org_apache_wicket_request_resource_ByteArrayResource.java,wicket-1.5.3,51,True,2
wicket-core_src_main_java_org_apache_wicket_markup_MarkupParser.java,wicket-1.5.3,184,True,2
wicket-request_src_main_java_org_apache_wicket_request_mapper_CompoundRequestMapper.java,wicket-1.5.3,59,True,2
wicket-util_src_main_java_org_apache_wicket_util_string_StringValue.java,wicket-1.5.3,534,True,2
wicket-util_src_main_java_org_apache_wicket_util_string_StringValue.java,wicket-1.5.3,585,True,2
wicket-request_src_main_java_org_apache_wicket_request_Url.java,wicket-1.5.3,377,True,2
wicket-request_src_main_java_org_apache_wicket_request_Url.java,wicket-1.5.3,387,True,2
wicket-request_src_main_java_org_apache_wicket_request_parameter_CombinedRequestParametersAdapter.java,wicket-1.5.3,46,True,2
wicket-request_src_main_java_org_apache_wicket_request_parameter_UrlRequestParametersAdapter.java,wicket-1.5.3,50,True,2
wicket-core_src_main_java_org_apache_wicket_request_mapper_AbstractBookmarkableMapper.java,wicket-1.5.3,126,True,2
wicket-core_src_main_java_org_apache_wicket_request_handler_PageProvider.java,wicket-1.5.3,298,True,2
wicket-core_src_main_java_org_apache_wicket_request_handler_PageProvider.java,wicket-1.5.3,182,True,2
wicket-core_src_main_java_org_apache_wicket_Component.java,wicket-1.5.3,4244,True,2
wicket-core_src_main_java_org_apache_wicket_Component.java,wicket-1.5.3,1772,True,2
wicket-core_src_main_java_org_apache_wicket_Component.java,wicket-1.5.3,678,True,2
wicket-core_src_main_java_org_apache_wicket_Component.java,wicket-1.5.3,661,True,2
wicket-core_src_main_java_org_apache_wicket_behavior_AbstractAjaxBehavior.java,wicket-1.5.3,66,True,2
wicket-core_src_main_java_org_apache_wicket_markup_parser_filter_WicketTagIdentifier.java,wicket-1.5.3,59,True,2
wicket-core_src_main_java_org_apache_wicket_request_resource_PackageResource.java,wicket-1.5.3,156,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_link_Link.java,wicket-1.5.3,144,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_link_Link.java,wicket-1.5.3,123,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_link_Link.java,wicket-1.5.3,205,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_link_Link.java,wicket-1.5.3,232,True,2
wicket-core_src_main_java_org_apache_wicket_Page.java,wicket-1.5.3,227,True,2
wicket-core_src_main_java_org_apache_wicket_Page.java,wicket-1.5.3,195,True,2
wicket-core_src_main_java_org_apache_wicket_Page.java,wicket-1.5.3,182,True,2
wicket-core_src_main_java_org_apache_wicket_Page.java,wicket-1.5.3,216,True,2
wicket-core_src_main_java_org_apache_wicket_Page.java,wicket-1.5.3,170,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_image_resource_LocalizedImageResource.java,wicket-1.5.3,248,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_image_resource_LocalizedImageResource.java,wicket-1.5.3,169,True,2
wicket-core_src_main_java_org_apache_wicket_markup_html_form_Form.java,wicket-1.5.3,937,True,2
