"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",8,594,0.0134680134680135
"2","SAT","GLANCE-LR",161,441,0.365079365079365
"3","SAT","N-gram",15,587,0.0255536626916525
"4","SAT","LineDP",172,430,0.4
"5","SAT","DeepLineDP",64,538,0.118959107806691
"6","SAT","LLM4SA",68,535,0.127102803738318
"7","APART-F","GLANCE-LR",67,535,0.125233644859813
"8","APART-F","N-gram",13,589,0.0220713073005093
"9","APART-F","LineDP",26,576,0.0451388888888889
"10","APART-F","DeepLineDP",38,564,0.0673758865248227
"11","APART-F","LLM4SA",10,593,0.0168634064080944
"12","GLANCE-LR","N-gram",17,585,0.0290598290598291
"13","GLANCE-LR","LineDP",188,414,0.454106280193237
"14","GLANCE-LR","DeepLineDP",54,548,0.0985401459854015
"15","GLANCE-LR","LLM4SA",37,566,0.0653710247349823
"16","N-gram","LineDP",15,587,0.0255536626916525
"17","N-gram","DeepLineDP",20,582,0.0343642611683849
"18","N-gram","LLM4SA",15,588,0.0255102040816327
"19","LineDP","DeepLineDP",48,554,0.0866425992779783
"20","LineDP","LLM4SA",44,559,0.0787119856887299
"21","DeepLineDP","LLM4SA",30,573,0.0523560209424084
