"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",11,423,0.0260047281323877
"2","SAT","GLANCE-LR",61,373,0.163538873994638
"3","SAT","N-gram",32,402,0.0796019900497512
"4","SAT","LineDP",67,367,0.182561307901907
"5","SAT","DeepLineDP",43,391,0.10997442455243
"6","SAT","LLM4SA",125,309,0.40453074433657
"7","APART-F","GLANCE-LR",79,355,0.222535211267606
"8","APART-F","N-gram",19,415,0.0457831325301205
"9","APART-F","LineDP",28,406,0.0689655172413793
"10","APART-F","DeepLineDP",41,393,0.104325699745547
"11","APART-F","LLM4SA",12,422,0.028436018957346
"12","GLANCE-LR","N-gram",24,410,0.0585365853658537
"13","GLANCE-LR","LineDP",117,317,0.369085173501577
"14","GLANCE-LR","DeepLineDP",37,397,0.0931989924433249
"15","GLANCE-LR","LLM4SA",20,414,0.0483091787439614
"16","N-gram","LineDP",20,414,0.0483091787439614
"17","N-gram","DeepLineDP",28,406,0.0689655172413793
"18","N-gram","LLM4SA",35,399,0.087719298245614
"19","LineDP","DeepLineDP",40,394,0.101522842639594
"20","LineDP","LLM4SA",23,411,0.0559610705596107
"21","DeepLineDP","LLM4SA",30,404,0.0742574257425743
