"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",12,364,0.032967032967033
"2","SAT","GLANCE-LR",17,359,0.0473537604456825
"3","SAT","N-gram",13,363,0.0358126721763085
"4","SAT","LineDP",21,355,0.0591549295774648
"5","SAT","DeepLineDP",12,364,0.032967032967033
"6","SAT","LLM4SA",138,238,0.579831932773109
"7","APART-F","GLANCE-LR",56,320,0.175
"8","APART-F","N-gram",10,366,0.0273224043715847
"9","APART-F","LineDP",14,362,0.0386740331491713
"10","APART-F","DeepLineDP",33,343,0.0962099125364431
"11","APART-F","LLM4SA",12,364,0.032967032967033
"12","GLANCE-LR","N-gram",16,360,0.0444444444444444
"13","GLANCE-LR","LineDP",99,277,0.357400722021661
"14","GLANCE-LR","DeepLineDP",40,336,0.119047619047619
"15","GLANCE-LR","LLM4SA",13,363,0.0358126721763085
"16","N-gram","LineDP",15,361,0.0415512465373961
"17","N-gram","DeepLineDP",10,366,0.0273224043715847
"18","N-gram","LLM4SA",15,361,0.0415512465373961
"19","LineDP","DeepLineDP",46,330,0.139393939393939
"20","LineDP","LLM4SA",16,360,0.0444444444444444
"21","DeepLineDP","LLM4SA",8,368,0.0217391304347826
