"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",8,94,0.0851063829787234
"2","SAT","GLANCE-LR",29,73,0.397260273972603
"3","SAT","N-gram",4,98,0.0408163265306122
"4","SAT","LineDP",26,76,0.342105263157895
"5","SAT","DeepLineDP",6,96,0.0625
"6","SAT","LLM4SA",24,78,0.307692307692308
"7","APART-F","GLANCE-LR",11,91,0.120879120879121
"8","APART-F","N-gram",8,94,0.0851063829787234
"9","APART-F","LineDP",9,93,0.0967741935483871
"10","APART-F","DeepLineDP",12,90,0.133333333333333
"11","APART-F","LLM4SA",8,94,0.0851063829787234
"12","GLANCE-LR","N-gram",4,98,0.0408163265306122
"13","GLANCE-LR","LineDP",34,68,0.5
"14","GLANCE-LR","DeepLineDP",9,93,0.0967741935483871
"15","GLANCE-LR","LLM4SA",14,88,0.159090909090909
"16","N-gram","LineDP",4,98,0.0408163265306122
"17","N-gram","DeepLineDP",5,97,0.0515463917525773
"18","N-gram","LLM4SA",7,95,0.0736842105263158
"19","LineDP","DeepLineDP",11,91,0.120879120879121
"20","LineDP","LLM4SA",10,92,0.108695652173913
"21","DeepLineDP","LLM4SA",4,98,0.0408163265306122
