"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",176,6472,0.0271940667490729
"2","SAT","GLANCE-LR",509,6139,0.0829125264701091
"3","SAT","N-gram",200,6448,0.0310173697270471
"4","SAT","LineDP",551,6097,0.0903723142529113
"5","SAT","DeepLineDP",332,6316,0.0525649145028499
"6","SAT","LLM4SA",2163,4485,0.482274247491639
"7","APART-F","GLANCE-LR",592,6056,0.0977542932628798
"8","APART-F","N-gram",124,6524,0.0190067443286327
"9","APART-F","LineDP",166,6482,0.0256093798210429
"10","APART-F","DeepLineDP",250,6398,0.0390747108471397
"11","APART-F","LLM4SA",155,6493,0.0238718620052364
"12","GLANCE-LR","N-gram",165,6483,0.025451180009255
"13","GLANCE-LR","LineDP",2161,4487,0.481613550256296
"14","GLANCE-LR","DeepLineDP",869,5779,0.150372036684547
"15","GLANCE-LR","LLM4SA",406,6242,0.0650432553668696
"16","N-gram","LineDP",168,6480,0.0259259259259259
"17","N-gram","DeepLineDP",108,6540,0.0165137614678899
"18","N-gram","LLM4SA",315,6333,0.0497394599715775
"19","LineDP","DeepLineDP",880,5768,0.152565880721221
"20","LineDP","LLM4SA",434,6214,0.0698422915996138
"21","DeepLineDP","LLM4SA",277,6371,0.0434782608695652
