"","Tool1","Tool2","Intersection_Size","Union_Size","Similarity"
"1","SAT","APART-F",73,389,0.187660668380463
"2","SAT","GLANCE-LR",125,337,0.370919881305638
"3","SAT","N-gram",72,390,0.184615384615385
"4","SAT","LineDP",129,333,0.387387387387387
"5","SAT","DeepLineDP",86,376,0.228723404255319
"6","SAT","LLM4SA",179,281,0.637010676156584
"7","APART-F","GLANCE-LR",121,341,0.354838709677419
"8","APART-F","N-gram",57,405,0.140740740740741
"9","APART-F","LineDP",74,388,0.190721649484536
"10","APART-F","DeepLineDP",88,374,0.235294117647059
"11","APART-F","LLM4SA",72,388,0.185567010309278
"12","GLANCE-LR","N-gram",65,397,0.163727959697733
"13","GLANCE-LR","LineDP",156,306,0.509803921568627
"14","GLANCE-LR","DeepLineDP",79,383,0.206266318537859
"15","GLANCE-LR","LLM4SA",109,351,0.310541310541311
"16","N-gram","LineDP",56,406,0.137931034482759
"17","N-gram","DeepLineDP",66,396,0.166666666666667
"18","N-gram","LLM4SA",62,398,0.155778894472362
"19","LineDP","DeepLineDP",76,386,0.196891191709845
"20","LineDP","LLM4SA",110,350,0.314285714285714
"21","DeepLineDP","LLM4SA",76,384,0.197916666666667
